# GENERATED by scripts/ci/gen-pipefail-epipe-inventory.sh — do not hand-edit
# except to improve the class/note columns, which regeneration carries forward.
#
# DECLARED EXPOSURE REGISTRY — every `producer | <short-circuiting consumer>`
# pipeline in the gate plane (CI-wired scripts/ci scripts) and the product plane
# (what packaging ships to /usr/lib/nftban + /usr/sbin and what systemd units
# ExecStart). Under `pipefail` such a pipeline can return 141 while its answer
# was correct; see the header of check-pipefail-epipe-shortcircuit.sh for the
# measured thresholds.
#
# ⛔ THIS IS A DEBT REGISTER, NOT AN ALLOWLIST. A row here means the exposure is
# KNOWN and OWED, not that it is safe. The class column is the disposition:
#
#   A             SIGPIPE-SENSITIVE — the producer can exceed the pipe buffer on
#                 a real host. Owed remediation. 39 of these sit on a security-
#                 or count-reporting surface.
#   B             structurally safe — producer bounded small by construction
#   C             already normalised — `|| true` / `|| echo` fallback, or a
#                 local/declare that masks the status
#   D             shipped but not on an automatic product execution path
#   E             UNKNOWN — producer size is host-dependent; needs a probe on a
#                 representative host before it can be classified
#   UNCLASSIFIED  detected but never classified; treat as E until measured
#
# Identity is (plane, file, fingerprint) where fingerprint is the first 16 hex of
# the sha256 of the whitespace-normalised line. Line NUMBERS are deliberately not
# part of identity: they drift on any edit and would locate the subject by
# position. occurrences counts identical lines in the same file.
#
# Ratchet, three directions — see the guard's ARM 1:
#   detected but not declared       -> FAIL (new exposure)
#   declared but no longer detected -> FAIL (reconcile; locks a real fix in and
#                                     makes a disappearance explainable)
#   declared, file no longer in the -> FAIL (rotting row; nothing consumes it)
#   population
#
# Regenerate: scripts/ci/gen-pipefail-epipe-inventory.sh
#
# plane	file	fingerprint	occurrences	consumers	class	note
gate	scripts/ci/check-repo-authority.sh	2d7f40ae2a520310	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-repo-authority.sh	4776d71ded583315	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-retired-binary-references.sh	e9e1354b37fbd480	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-system-include-writer-authority.sh	703cecbfdbad9628	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-test-count-floor.sh	57276d3ab469e955	1	head	UNCLASSIFIED	-
gate	scripts/ci/check-test-count-floor.sh	8aadbfc45e8b3583	1	head	UNCLASSIFIED	-
gate	scripts/ci/publish-trusted-gate-status.sh	37898e0d164a7889	1	head	UNCLASSIFIED	-
gate	scripts/ci/publish-trusted-gate-status.sh	6ad5237993e3be4e	1	head	UNCLASSIFIED	-
gate	scripts/ci/publish-trusted-gate-status.sh	efd23f4e3aaaa5fb	1	head	UNCLASSIFIED	-
gate	scripts/ci/run-test-suite.sh	af80961b476d9ad7	1	head	UNCLASSIFIED	-
gate	scripts/ci/test-immutable-lifecycle-matrix.sh	a6f7086ad260d132	1	grep-q	UNCLASSIFIED	-
gate	scripts/ci/test-immutable-lifecycle-matrix.sh	b5b0d0a7b72d5e71	1	grep-q	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_deb_matrix.sh	22346f327bc94e02	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_deb_matrix.sh	b113e0f9efbfed2b	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_deb_matrix.sh	be0eb7a567f9dd9e	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_deb_matrix.sh	e4ded891000f2df3	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_rpm_matrix.sh	1a223b6e23e998d5	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_rpm_matrix.sh	828bce40502d3454	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_rpm_matrix.sh	9fe5ff5fa5f33fb1	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/lifecycle_rpm_matrix.sh	be0eb7a567f9dd9e	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/package_postinstall_verify_test.sh	0a1c50123e5818ae	1	head	UNCLASSIFIED	-
gate	scripts/ci/tests/package_postinstall_verify_test.sh	90a75c3e87b1c288	2	head	UNCLASSIFIED	-
gate	scripts/ci/tests/package_postinstall_verify_test.sh	a406255794bf06d1	1	head	UNCLASSIFIED	-
product	cli/lib/nftban/cli/cmd_blacklist.sh	3c6aac682d8d0069	1	head	C	-
product	cli/lib/nftban/cli/cmd_blacklist.sh	ea6a2f89d95dec7e	1	grep-q	E	fn=nftban_cmd_blacklist; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_botguard.sh	1b69ca02fba0e12c	1	grep-q	A	fn=_botguard_kernel_set_count; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_botguard.sh	45772b65e846a702	1	head	B	-
product	cli/lib/nftban/cli/cmd_botguard.sh	90bfd4fa961bd515	1	grep-q	A	fn=_nftban_botguard_test; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_botguard.sh	cb48257bec03f716	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_botscan.sh	f7e567b4a2866bd6	1	head	C	-
product	cli/lib/nftban/cli/cmd_connector.sh	2d19f2964ecba7f5	1	grep-q	E	fn=_cmd_connector_add; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_ddos.sh	370edebe381c6559	1	head	E	fn=_nftban_ddos_stats_json; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_ddos.sh	d2f983193912522c	1	head	E	fn=_nftban_ddos_stats_json; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_debug.sh	00c02cd4bb5816cd	1	head	B	-
product	cli/lib/nftban/cli/cmd_egress.sh	3030bcb04d6d1096	1	head	C	-
product	cli/lib/nftban/cli/cmd_egress.sh	6480ef947802b18a	1	head	C	-
product	cli/lib/nftban/cli/cmd_egress.sh	a8f77ad701903ce8	1	head	C	-
product	cli/lib/nftban/cli/cmd_egress.sh	ce2a00eb5fa436d9	1	head	C	-
product	cli/lib/nftban/cli/cmd_firewall.sh	1ab5af41899c2304	1	head	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	269e1116f7597023	1	head	C	-
product	cli/lib/nftban/cli/cmd_firewall.sh	2892d02a808d6c3d	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	301db041d73c56f6	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	3487be6b81718afc	1	head	C	-
product	cli/lib/nftban/cli/cmd_firewall.sh	5bca3452b52ac509	2	head	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	a299318b45c6986e	1	head	E	fn=_check_nft_collisions; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_firewall.sh	a3f7110a01bb9791	2	head	E	fn=_check_nft_collisions; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_firewall.sh	aa92c7be53e1e9b8	1	head	C	-
product	cli/lib/nftban/cli/cmd_firewall.sh	b2a0e3ba7374ab27	2	head	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	b6d2f345595a9ea2	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	b8f3e106b0ddc671	2	head	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	cc04ece07d8a0203	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	cd3ccc8e889d7f80	1	head	B	-
product	cli/lib/nftban/cli/cmd_firewall.sh	e827954ca033fb6a	1	head	E	fn=_check_nft_collisions; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_firewall.sh	fa0fc8a5f3c97c81	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_flush.sh	f65479a238321080	1	head	C	-
product	cli/lib/nftban/cli/cmd_geoip.sh	0c6b281df674b83a	1	head	C	-
product	cli/lib/nftban/cli/cmd_geoip.sh	333cfb4ed522639a	1	head	A	fn=nftban_geoip_cmd_config; security_or_count_surface=statement; INFERRED ~65024; depends on endpoint payload
product	cli/lib/nftban/cli/cmd_geoip.sh	4fde0edc096dba8e	1	head	A	fn=nftban_geoip_cmd_config; security_or_count_surface=statement; INFERRED ~65024; depends on endpoint payload
product	cli/lib/nftban/cli/cmd_health_analysis.sh	7542887c8f757abd	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_health_analysis.sh	7d66bc5c6d35f3fc	1	awk-exit	B	-
product	cli/lib/nftban/cli/cmd_health_analysis.sh	ddca6bc1532e0abb	1	head	E	fn=nftban_health_cmd_rbl; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_login.sh	cd075aad3fd5abe7	1	head	B	-
product	cli/lib/nftban/cli/cmd_nftables.sh	2690e5b116944228	1	head	UNCLASSIFIED	-
product	cli/lib/nftban/cli/cmd_nftables.sh	696b3df4efa891aa	1	grep-q	A	fn=_nftban_nftables_cmd_check; security_or_count_surface=condition; MEASURED 20/20 fail at 42646B (slow producer, flips below 64KiB)
product	cli/lib/nftban/cli/cmd_polkit.sh	047be958fe587031	1	head	B	-
product	cli/lib/nftban/cli/cmd_polkit.sh	3906228bc80810fe	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_polkit.sh	4f308ba39ff830bb	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_portscan.sh	60695ea17725d86a	1	head	B	-
product	cli/lib/nftban/cli/cmd_portscan.sh	8899430261a49106	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_portscan.sh	fba2cefb5c8288d1	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_port.sh	2073964b8c992375	1	head	B	-
product	cli/lib/nftban/cli/cmd_port.sh	46ca237af4d6fdd0	1	grep-q	E	fn=nftban_cmd_port; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_port.sh	5bb7bd967c1e58fc	1	head	B	-
product	cli/lib/nftban/cli/cmd_port.sh	ec93ff44a112acff	1	grep-q	E	fn=nftban_cmd_port; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_pro.sh	b13d451d24a24c13	1	head	E	fn=nftban_pro_cmd_enroll; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_rbl.sh	1fbae4d9b6c198d1	1	head	E	fn=nftban_cmd_rbl_check; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_rbl.sh	22004b47cf6e0d86	2	head	C	-
product	cli/lib/nftban/cli/cmd_rbl.sh	34ee55b00e487570	1	head	E	fn=nftban_cmd_rbl_check; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_rbl.sh	443f1361a30ccc34	1	grep-q	E	fn=nftban_cmd_rbl_check; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_rbl.sh	9a17907c24bf0a9a	2	grep-q	E	fn=nftban_cmd_rbl_check; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_rbl.sh	9d8ec711a87718ea	1	grep-q	A	fn=nftban_cmd_rbl_check; security_or_count_surface=condition; MEASURED 20/20 fail at 42646B (slow producer, flips below 64KiB)
product	cli/lib/nftban/cli/cmd_rbl.sh	9fa5e8933469a89d	2	grep-q	E	fn=nftban_cmd_rbl_check; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_rbl.sh	aeb9f487a066a264	2	head	C	-
product	cli/lib/nftban/cli/cmd_report.sh	2a9a320c3fab8cc7	1	head	E	fn=nftban_report_generate_html; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_report.sh	5d2006662629bf37	1	head	E	fn=nftban_report_cmd_list; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_report.sh	88d9ee78fe97f26b	1	head	A	fn=nftban_report_cmd_status; security_or_count_surface=assign; INFERRED ~65024; depends on tree size
product	cli/lib/nftban/cli/cmd_report.sh	e5f15077dcaece3b	1	head	E	fn=nftban_report_generate_html; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_search.sh	17ebcf24b9634a5b	1	head	C	-
product	cli/lib/nftban/cli/cmd_search.sh	2e6493dec05ccfd4	1	head	E	fn=_geoip_lookup; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_search.sh	368695591dc96c5d	1	head	E	fn=_geoip_lookup; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_search.sh	4ee7aab4e781de7d	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	70c6be3ce5b63464	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	75082516ad64e5cc	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	784d1d2fcdbf7e75	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	7aed68baed3ab84b	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	7b10bafde3550944	1	head	C	-
product	cli/lib/nftban/cli/cmd_search.sh	ada073efee49c683	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	afd45b1ff1d748f2	1	head	E	fn=_search_nftables; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_search.sh	ba61c39596517508	1	head	E	fn=_search_nftables; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_search.sh	ba9fbd28d233bd53	1	head	C	-
product	cli/lib/nftban/cli/cmd_search.sh	c454a3e181fe2877	1	head	C	-
product	cli/lib/nftban/cli/cmd_search.sh	cf7204a6c87a2647	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	d695792f5a94536f	1	head	C	-
product	cli/lib/nftban/cli/cmd_search.sh	d9dd4c86032892f3	1	head	C	-
product	cli/lib/nftban/cli/cmd_search.sh	edb4d55389a14ecf	1	grep-q	A	fn=_search_nftables; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_search.sh	fb05b6496d51e454	1	grep-q	E	fn=_search_nftables; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_selftest.sh	69f52c1195dd148b	1	head	E	fn=_verify_geoban; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_setup.sh	649001df242ef0f8	1	head	E	fn=nftban_cmd_setup; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_setup.sh	761487d53b249e32	1	grep-q	E	fn=nftban_cmd_setup; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_setup.sh	98706701350c70b4	1	grep-q	E	fn=nftban_cmd_setup; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_setup.sh	9a796493b097fdd4	1	grep-q	E	fn=nftban_cmd_setup; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_snapshot.sh	888285e6c3ee1114	1	head	C	-
product	cli/lib/nftban/cli/cmd_stats.sh	21e154b4a8630c05	1	head	E	fn=nftban_stats_cmd_ip; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_stats.sh	4bdcea68e0504cc2	1	head	C	-
product	cli/lib/nftban/cli/cmd_stats.sh	8d6675a7a33dd29e	1	head	C	-
product	cli/lib/nftban/cli/cmd_stats.sh	a531b3ecf447784b	1	head	C	-
product	cli/lib/nftban/cli/cmd_stats.sh	e1d0783cf54dbeff	1	head	C	-
product	cli/lib/nftban/cli/cmd_status.sh	0699027ed8cbd126	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	159c8fe9f6a2aa49	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	1a0334522329a28c	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_status.sh	36dc40cb9ceb2b16	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	3f046e5de85c2631	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	44faed496b505360	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	4606fefd8245169a	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	4a5cfccadd9b3a81	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	518f20ed6fa25ff8	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	525ccd7a059ff104	1	grep-q	A	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	759920c145a68a79	1	grep-q	A	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	7bb5e25323de2708	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	7e28ddcfc833ade5	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	8246aeba97093831	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_status.sh	90864b7a4c96a2f1	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	917d1151000ee6e6	1	head	C	-
product	cli/lib/nftban/cli/cmd_status.sh	925c97db9643d092	1	head	C	-
product	cli/lib/nftban/cli/cmd_status.sh	9584e0826e93c6be	1	grep-q	A	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_status.sh	98c6ea61ad1fe862	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	9c8d680e1e18a3fb	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_status.sh	af54aca9e277f7ee	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	b007fde924ac8a01	1	head	A	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; INFERRED ~65024; depends on tree size
product	cli/lib/nftban/cli/cmd_status.sh	b11b73f79c007806	1	grep-q	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	bed9d4604f71bfc4	1	head	E	fn=_nftban_prefetch_unit_states; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_status.sh	bf3b60d567526ead	2	grep-q	B	-
product	cli/lib/nftban/cli/cmd_status.sh	d3b8d0b49abe7898	1	head	C	-
product	cli/lib/nftban/cli/cmd_status.sh	f518a64715ea832f	1	grep-q	A	fn=_nftban_prefetch_unit_states; security_or_count_surface=YES; MEASURED 65024 (~1600 set elements); 20/20 fail at 205291B
product	cli/lib/nftban/cli/cmd_support.sh	00e4fd5ded5193e5	1	head	UNCLASSIFIED	-
product	cli/lib/nftban/cli/cmd_support.sh	132875827f626703	1	head	B	-
product	cli/lib/nftban/cli/cmd_support.sh	1d45e39acdea184f	1	head	A	fn=_support_correlation_header; security_or_count_surface=assign; INFERRED ~65024
product	cli/lib/nftban/cli/cmd_support.sh	234dac4f7657ef95	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_support.sh	248fa90bb3ba62bd	1	head	E	fn=_collect_module_status; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_support.sh	3d21d63f73fbe6cc	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_support.sh	46b6141b087d6783	1	head	B	-
product	cli/lib/nftban/cli/cmd_support.sh	477c87afa388caad	1	head	UNCLASSIFIED	-
product	cli/lib/nftban/cli/cmd_support.sh	526c7ae486fea204	1	head	C	-
product	cli/lib/nftban/cli/cmd_support.sh	53ba2c3afd8afcba	1	head	C	-
product	cli/lib/nftban/cli/cmd_support.sh	7feb15fecf273826	1	head	E	fn=_support_collect_incident_evidence; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_support.sh	9d9d8fe12e66d6fe	1	head	C	-
product	cli/lib/nftban/cli/cmd_support.sh	b1ef85901cc0b59d	1	head	C	-
product	cli/lib/nftban/cli/cmd_support.sh	b3867d57afb5af07	1	head	C	-
product	cli/lib/nftban/cli/cmd_support.sh	b46095b1e3fe72e2	1	head	B	-
product	cli/lib/nftban/cli/cmd_support.sh	d516033e4e941091	1	head	E	fn=_support_collect_incident_evidence; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_support.sh	d81177423eebd667	1	head	UNCLASSIFIED	-
product	cli/lib/nftban/cli/cmd_support.sh	ddf1fb3d5ecd003e	1	head	B	-
product	cli/lib/nftban/cli/cmd_support.sh	e167e8eeaeb5b815	1	head	C	-
product	cli/lib/nftban/cli/cmd_support.sh	fe607894937a7500	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_system.sh	67d6ec82c77c97fe	1	head	B	-
product	cli/lib/nftban/cli/cmd_test.sh	56a4c636db4c5a39	1	grep-q	E	fn=test_cmd; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_timers.sh	a45b45f9d88f48de	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_tunnel.sh	1fcbc6af8511fe8c	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_update_detection.sh	1f36465d350bd795	1	head	E	fn=_probe_install_state_committed_update_authority; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_update_detection.sh	22a55ddd0a138d70	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_update_detection.sh	6961b8b80ad5f611	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_update_detection.sh	6fbf9db761c35781	1	head	E	fn=_probe_install_state_committed_update_authority; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_update_detection.sh	d3595041de4b535c	1	head	B	-
product	cli/lib/nftban/cli/cmd_update_detection.sh	d95816a7e56ff930	1	head	B	-
product	cli/lib/nftban/cli/cmd_update_helpers.sh	2e6442543c10521d	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_update_helpers.sh	3728537cb2a2a8ae	1	grep-q	E	fn=_update_restore_cadence_timers; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_update_helpers.sh	7d4a51f80f0ac42f	1	head	A	fn=_update_restore_cadence_timers; security_or_count_surface=YES; INFERRED ~65024; depends on tree size
product	cli/lib/nftban/cli/cmd_update_helpers.sh	d4637ae668feb0b0	1	grep-q	B	-
product	cli/lib/nftban/cli/cmd_update_helpers.sh	ee590e3f9cdf0037	1	head	E	fn=_update_restore_cadence_timers; needs a producer-size probe on a representative host
product	cli/lib/nftban/cli/cmd_update_helpers.sh	f4f27cda60651934	1	head	UNCLASSIFIED	-
product	cli/lib/nftban/cli/cmd_update.sh	1c2f5eb918e5c6eb	1	head	C	-
